FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
FL100038,CCU-JAI,CCU,JAI,2025-02-18,112,Q400,70,70,191940,154558
FL100039,MAA-JAI,MAA,JAI,2024-11-14,177,Q400,150,110,368060,196673
FL100040,MAA-AMD,MAA,AMD,2025-06-12,136,ATR72,150,103,524991,197534
FL100041,GOI-CCU,GOI,CCU,2024-03-29,134,ATR72,180,112,560224,124368
FL100042,HYD-CCU,HYD,CCU,2025-06-05,136,A320,90,32,130304,123022
FL100043,BOM-DEL,BOM,DEL,2025-10-11,144,ATR72,180,58,214484,173982
FL100044,PNQ-BOM,PNQ,BOM,2025-03-07,68,A320,70,44,133276,87703
FL100045,JAI-AMD,JAI,AMD,2024-08-30,101,A321,150,93,472812,196671
FL100046,DEL-BOM,DEL,BOM,2025-02-24,164,A321,90,87,563673,134782
FL100047,BLR-HYD,BLR,HYD,2024-03-01,144,A320,150,70,317520,144039
FL100048,HYD-JAI,HYD,JAI,2024-08-29,169,A321,70,68,250240,199597
FL100049,DEL-BOM,DEL,BOM,2024-04-02,140,A320,180,176,681296,197874
FL100050,CCU-MAA,CCU,MAA,2024-10-16,155,B787,150,117,451269,195324
FL100051,JAI-CCU,JAI,CCU,2025-12-20,112,B737,180,104,395200,178498
FL100052,PNQ-HYD,PNQ,HYD,2024-05-04,91,Q400,120,40,251040,174646
FL100053,JAI-BLR,JAI,BLR,2025-12-20,130,A321,180,162,538650,158093
FL100054,MAA-JAI,MAA,JAI,2024-03-30,155,Q400,180,65,357825,83570
FL100055,HYD-AMD,HYD,AMD,2024-01-08,77,A320,70,65,270075,197389
FL100056,HYD-GOI,HYD,GOI,2024-12-29,99,A320,120,84,310884,96040
FL100057,AMD-BLR,AMD,BLR,2024-10-14,122,B787,150,30,119820,102003
FL100058,GOI-DEL,GOI,DEL,2025-05-10,107,Q400,180,179,618445,140694
FL100059,JAI-GOI,JAI,GOI,2025-06-07,138,A321,180,128,799360,120247
FL100060,PNQ-GOI,PNQ,GOI,2024-04-08,139,B787,90,51,221595,131647
FL100061,AMD-CCU,AMD,CCU,2024-03-12,167,B787,180,126,597492,106107
FL100062,BOM-MAA,BOM,MAA,2024-12-28,176,Q400,78,66,426426,124977
FL100063,GOI-AMD,GOI,AMD,2025-01-07,129,A320,180,121,562771,130759
FL100064,MAA-DEL,MAA,DEL,2024-09-26,127,Q400,120,86,291970,112232
FL100065,PNQ-HYD,PNQ,HYD,2025-06-16,172,Q400,70,43,276920,135126
FL100066,PNQ-AMD,PNQ,AMD,2025-01-04,68,Q400,180,75,465150,98945
FL100067,BLR-DEL,BLR,DEL,2025-10-15,141,B737,70,42,129612,118402
FL100068,CCU-HYD,CCU,HYD,2024-06-03,146,A320,180,49,162827,121298
FL100069,JAI-DEL,JAI,DEL,2025-01-28,85,A320,150,32,139520,92297
FL100070,CCU-HYD,CCU,HYD,2024-10-17,108,A320,90,48,303936,198265
FL100071,DEL-JAI,DEL,JAI,2024-10-05,84,ATR72,78,41,233044,100814
FL100072,GOI-DEL,GOI,DEL,2024-08-30,172,B787,150,59,361611,112485
FL100073,JAI-MAA,JAI,MAA,2025-11-27,147,ATR72,90,43,167356,131580
FL100074,DEL-GOI,DEL,GOI,2024-09-05,163,B787,78,76,247836,116540
FL100075,BLR-AMD,BLR,AMD,2025-04-06,161,B737,150,42,140658,141201
FL100076,JAI-BOM,JAI,BOM,2025-05-08,155,A321,78,34,179350,97830
FL100077,PNQ-BOM,PNQ,BOM,2024-11-01,144,ATR72,78,36,209160,136267
FL100078,CCU-JAI,CCU,JAI,2025-04-12,168,A320,70,59,282079,104474
FL100079,GOI-CCU,GOI,CCU,2024-01-12,88,ATR72,150,126,565992,158200
FL100080,BOM-CCU,BOM,CCU,2025-07-03,72,B787,78,37,185851,151080
FL100081,GOI-DEL,GOI,DEL,2025-08-31,159,B737,120,103,394490,137263
FL100082,BOM-CCU,BOM,CCU,2024-12-12,108,Q400,78,51,293097,122206
FL100083,HYD-CCU,HYD,CCU,2024-07-12,74,B737,150,75,341100,128877
FL100084,AMD-MAA,AMD,MAA,2025-07-17,159,B787,120,43,154628,109250
FL100085,AMD-CCU,AMD,CCU,2024-10-01,162,B737,90,45,152010,178363
FL100086,AMD-CCU,AMD,CCU,2025-10-06,134,A320,70,42,215544,198214
FL100087,PNQ-HYD,PNQ,HYD,2024-11-03,176,Q400,180,65,205400,185683
FL100088,BLR-GOI,BLR,GOI,2024-04-11,107,B787,78,69,384468,80864
FL100089,BLR-PNQ,BLR,PNQ,2024-03-18,80,A320,120,118,554364,93718
FL100090,JAI-AMD,JAI,AMD,2024-02-28,64,B737,70,52,203424,145246
FL100091,MAA-PNQ,MAA,PNQ,2025-12-22,90,Q400,90,41,220211,150644
FL100092,BOM-JAI,BOM,JAI,2025-10-14,177,Q400,78,38,183046,84774
FL100093,MAA-PNQ,MAA,PNQ,2025-12-20,110,A320,120,81,234495,112038
FL100094,JAI-GOI,JAI,GOI,2024-06-07,152,A321,78,69,336099,134832
FL100095,JAI-PNQ,JAI,PNQ,2025-09-05,93,ATR72,180,62,235290,170512
FL100096,MAA-AMD,MAA,AMD,2025-10-31,108,A321,70,46,122498,128807
FL100097,PNQ-BLR,PNQ,BLR,2025-12-25,138,B787,70,33,109593,182335
FL100098,JAI-MAA,JAI,MAA,2025-04-18,124,A320,90,49,199871,194575
FL100099,CCU-MAA,CCU,MAA,2024-09-07,143,Q400,150,64,265152,199682
FL100100,AMD-HYD,AMD,HYD,2024-06-21,91,B787,120,107,305485,136204
FL100101,CCU-HYD,CCU,HYD,2024-04-07,131,B787,78,50,259300,133764
FL100102,GOI-JAI,GOI,JAI,2024-07-01,118,B787,180,134,831470,133891
FL100103,HYD-BLR,HYD,BLR,2024-11-14,152,B737,180,77,267498,171962
FL100104,JAI-HYD,JAI,HYD,2024-12-24,170,B787,120,83,423466,149510
FL100105,AMD-CCU,AMD,CCU,2024-07-16,180,B737,120,96,346944,124214
FL100106,BOM-AMD,BOM,AMD,2025-03-25,64,B787,78,78,379548,189027
FL100107,PNQ-AMD,PNQ,AMD,2025-09-22,91,B787,120,84,498372,196815
FL100108,JAI-DEL,JAI,DEL,2025-12-16,180,ATR72,180,168,430920,144294
FL100109,BLR-MAA,BLR,MAA,2025-04-19,93,Q400,78,57,281010,146738
FL100110,JAI-BLR,JAI,BLR,2025-12-09,60,Q400,70,69,344586,174609
FL100111,JAI-MAA,JAI,MAA,2024-07-09,143,B787,78,57,172482,135209
FL100112,MAA-CCU,MAA,CCU,2025-08-06,126,B787,150,120,325560,177992
FL100113,PNQ-GOI,PNQ,GOI,2024-06-13,152,A320,120,43,226438,120381
FL100114,BOM-JAI,BOM,JAI,2024-08-06,115,ATR72,90,30,108780,153209
FL100115,GOI-MAA,GOI,MAA,2024-10-25,80,Q400,90,36,169920,167673
FL100116,CCU-JAI,CCU,JAI,2025-05-27,156,ATR72,78,31,142693,188377
FL100117,AMD-MAA,AMD,MAA,2025-04-28,110,B787,120,80,359280,183430
FL100118,JAI-GOI,JAI,GOI,2024-08-04,61,B787,78,75,434925,110820
FL100119,MAA-CCU,MAA,CCU,2025-06-01,136,A321,150,131,501599,149456
FL100120,JAI-GOI,JAI,GOI,2024-01-18,149,A320,120,38,137142,92091
FL100121,PNQ-CCU,PNQ,CCU,2025-04-20,67,B787,78,30,136410,134550
FL100122,GOI-HYD,GOI,HYD,2024-11-25,146,ATR72,78,34,213758,90932
FL100123,CCU-DEL,CCU,DEL,2025-08-12,132,A321,90,88,396528,87455
FL100124,PNQ-JAI,PNQ,JAI,2024-07-22,167,A320,120,77,332255,175195
FL100125,CCU-PNQ,CCU,PNQ,2025-02-02,113,Q400,150,105,415380,103321
FL100126,BOM-PNQ,BOM,PNQ,2024-02-04,66,A321,180,47,247737,84161
FL100127,JAI-AMD,JAI,AMD,2025-08-04,159,A321,70,56,201936,120309
FL100128,JAI-CCU,JAI,CCU,2025-01-04,99,B737,90,50,290250,151793
FL100129,AMD-BOM,AMD,BOM,2024-11-18,148,A321,90,35,191975,135327
FL100130,AMD-DEL,AMD,DEL,2024-02-19,87,B737,120,52,135044,121401
FL100131,CCU-AMD,CCU,AMD,2024-09-15,177,B787,180,61,161040,108644
FL100132,GOI-CCU,GOI,CCU,2024-06-29,87,A321,120,101,610242,90018
FL100133,AMD-GOI,AMD,GOI,2024-10-18,167,A321,120,70,433160,89469
FL100134,BOM-PNQ,BOM,PNQ,2025-02-25,75,B737,120,95,346275,167079
FL100135,MAA-JAI,MAA,JAI,2025-03-19,90,B787,90,73,369161,160513
FL100136,BLR-BOM,BLR,BOM,2025-10-14,139,Q400,180,86,455198,118221
FL100137,JAI-AMD,JAI,AMD,2024-07-10,60,A320,150,49,148960,146363
FL100138,AMD-CCU,AMD,CCU,2025-06-30,131,B737,70,39,139269,104932
FL100139,BLR-GOI,BLR,GOI,2025-08-16,150,Q400,150,70,415240,102534
FL100140,DEL-HYD,DEL,HYD,2024-09-05,118,A320,70,49,286111,107943
FL100141,JAI-PNQ,JAI,PNQ,2024-04-10,126,Q400,180,85,274125,109985
FL100142,HYD-MAA,HYD,MAA,2025-08-28,93,B737,150,34,100232,176470
FL100143,BOM-PNQ,BOM,PNQ,2024-10-02,82,ATR72,150,33,82929,105909
FL100144,DEL-AMD,DEL,AMD,2025-01-07,73,ATR72,150,73,261924,94468
FL100145,DEL-BOM,DEL,BOM,2025-09-11,88,Q400,70,37,139897,176985
FL100146,BOM-PNQ,BOM,PNQ,2025-10-20,155,B787,70,68,195160,176437
FL100147,GOI-HYD,GOI,HYD,2024-01-26,64,B787,120,31,146847,162931
FL100148,BOM-PNQ,BOM,PNQ,2025-09-21,169,A320,180,33,104016,127439
FL100149,HYD-BLR,HYD,BLR,2025-10-22,115,B787,90,40,214000,132410
FL100150,MAA-BOM,MAA,BOM,2024-02-12,132,B787,180,108,394848,173034
FL100151,HYD-CCU,HYD,CCU,2025-08-08,147,Q400,90,40,130920,180399
FL100152,DEL-AMD,DEL,AMD,2024-04-22,112,Q400,120,45,277020,95479
FL100153,AMD-PNQ,AMD,PNQ,2025-11-11,136,A321,180,149,942872,188074
FL100154,BLR-PNQ,BLR,PNQ,2024-10-21,110,B737,150,136,784176,141374
FL100155,CCU-BOM,CCU,BOM,2024-12-01,155,A321,150,34,178602,165890
FL100156,HYD-BLR,HYD,BLR,2025-05-29,62,A320,78,70,229460,120280
FL100157,DEL-GOI,DEL,GOI,2025-03-10,107,A320,90,40,117960,157692
FL100158,BLR-BOM,BLR,BOM,2025-08-14,77,A321,120,52,279292,112100
FL100159,BLR-CCU,BLR,CCU,2024-02-04,65,A320,70,48,228960,165764
FL100160,HYD-BLR,HYD,BLR,2024-03-25,161,A321,90,81,390987,121028
FL100161,JAI-PNQ,JAI,PNQ,2025-10-27,114,Q400,78,63,169155,192312
FL100162,BLR-GOI,BLR,GOI,2024-05-21,74,B737,120,90,230310,180174
FL100163,HYD-JAI,HYD,JAI,2024-05-27,118,ATR72,180,105,580650,171237
FL100164,HYD-BLR,HYD,BLR,2025-04-24,78,Q400,90,54,285336,141619
FL100165,GOI-CCU,GOI,CCU,2025-06-24,129,Q400,70,50,211250,158347
FL100166,CCU-GOI,CCU,GOI,2025-04-08,69,ATR72,70,33,199518,103958
FL100167,GOI-AMD,GOI,AMD,2025-01-29,112,ATR72,78,69,375015,195710
FL100168,GOI-HYD,GOI,HYD,2025-10-03,117,ATR72,78,73,421064,88078
FL100169,DEL-GOI,DEL,GOI,2024-06-26,99,Q400,150,81,253206,127833
FL100170,BOM-BLR,BOM,BLR,2024-09-26,121,Q400,180,39,241917,97658
FL100171,HYD-AMD,HYD,AMD,2025-04-19,135,ATR72,150,104,526552,146687
FL100172,PNQ-HYD,PNQ,HYD,2024-02-21,123,A320,70,30,166230,94475
FL100173,CCU-GOI,CCU,GOI,2025-08-27,156,Q400,180,66,262416,89580
FL100174,PNQ-HYD,PNQ,HYD,2025-01-05,94,A321,150,66,235026,88555
FL100175,MAA-BOM,MAA,BOM,2025-04-19,70,Q400,78,37,185296,162868
FL100176,HYD-DEL,HYD,DEL,2025-09-30,109,Q400,90,30,158850,145216
FL100177,DEL-JAI,DEL,JAI,2025-05-01,143,A321,120,59,236590,181839
FL100178,HYD-BLR,HYD,BLR,2024-08-15,68,B787,78,75,284475,179407
FL100179,JAI-DEL,JAI,DEL,2025-05-12,121,B737,90,33,177606,193971
FL100180,MAA-BLR,MAA,BLR,2025-05-24,86,A321,70,69,209208,140753
FL100181,AMD-CCU,AMD,CCU,2024-03-20,90,ATR72,78,52,185276,182134
FL100182,PNQ-BLR,PNQ,BLR,2024-05-11,116,A321,120,37,114256,144916
FL100183,BOM-AMD,BOM,AMD,2024-01-28,111,A320,78,40,188800,102780
FL100184,MAA-AMD,MAA,AMD,2024-10-09,103,B787,120,107,309551,109935
FL100185,BOM-MAA,BOM,MAA,2024-01-31,125,B787,150,99,371646,114689
FL100186,PNQ-HYD,PNQ,HYD,2025-10-16,66,B787,150,78,262392,101525
FL100187,BLR-BOM,BLR,BOM,2025-11-04,176,Q400,90,46,246882,162893
FL100188,BOM-PNQ,BOM,PNQ,2025-09-02,113,A320,70,45,207630,159890
FL100189,BLR-CCU,BLR,CCU,2025-11-21,123,A321,78,76,471428,88043
FL100190,GOI-HYD,GOI,HYD,2024-07-08,128,A320,120,103,516957,198808
FL100191,JAI-DEL,JAI,DEL,2024-11-08,90,A320,120,107,306876,94018
FL100192,PNQ-GOI,PNQ,GOI,2024-07-17,94,A321,90,45,148410,116850
FL100193,JAI-HYD,JAI,HYD,2024-09-11,88,B737,150,38,219108,94035
FL100194,MAA-DEL,MAA,DEL,2025-10-10,81,B737,78,34,178364,133013
FL100195,JAI-BLR,JAI,BLR,2025-11-13,76,B737,70,49,207858,199484
FL100196,GOI-CCU,GOI,CCU,2024-12-15,98,B787,150,48,184464,177913
FL100197,MAA-JAI,MAA,JAI,2024-09-17,145,B737,120,92,512624,125498
FL100198,JAI-BLR,JAI,BLR,2024-06-28,72,B737,78,53,173151,157498
FL100199,BOM-HYD,BOM,HYD,2024-09-30,83,B737,78,51,165495,104385
FL100200,PNQ-DEL,PNQ,DEL,2025-05-08,118,B737,180,109,275225,161719
FL100201,AMD-PNQ,AMD,PNQ,2025-04-08,80,ATR72,70,65,398645,129483
FL100202,CCU-GOI,CCU,GOI,2024-05-20,111,ATR72,120,113,696306,108376
FL100203,PNQ-BOM,PNQ,BOM,2025-05-31,90,A321,70,67,174535,159802
FL100204,BOM-CCU,BOM,CCU,2025-12-23,76,Q400,70,58,233508,154458
FL100205,HYD-AMD,HYD,AMD,2024-02-28,112,A320,90,67,396841,129928
FL100206,BLR-JAI,BLR,JAI,2025-09-22,115,A320,70,65,349115,114037
FL100207,MAA-BLR,MAA,BLR,2025-01-07,178,B737,120,70,434000,130068
FL100208,BOM-DEL,BOM,DEL,2025-08-16,97,A320,180,38,200032,198413
FL100209,HYD-CCU,HYD,CCU,2024-10-11,111,Q400,120,79,427390,106424
FL100210,DEL-GOI,DEL,GOI,2024-06-30,126,Q400,70,51,169320,151448
FL100211,DEL-BOM,DEL,BOM,2025-05-31,88,Q400,150,60,252300,179742
FL100212,HYD-JAI,HYD,JAI,2024-06-13,173,A320,90,47,167508,172395
FL100213,HYD-JAI,HYD,JAI,2024-12-26,137,ATR72,90,86,330498,80196
FL100214,BLR-BOM,BLR,BOM,2024-09-10,150,B787,78,38,113658,102934
FL100215,PNQ-AMD,PNQ,AMD,2025-06-20,135,B737,90,43,109435,124056
FL100216,AMD-PNQ,AMD,PNQ,2025-01-27,73,B737,120,66,395868,149836
FL100217,HYD-AMD,HYD,AMD,2024-08-31,167,A320,150,98,602602,109844
FL100218,BLR-AMD,BLR,AMD,2025-01-16,84,B787,120,93,564231,113036
FL100219,BOM-PNQ,BOM,PNQ,2025-12-02,72,A321,78,74,373108,100719
FL100220,JAI-BLR,JAI,BLR,2025-09-11,86,A321,180,144,546624,97539
FL100221,BOM-AMD,BOM,AMD,2025-01-10,169,ATR72,180,177,1070319,99095
FL100222,AMD-GOI,AMD,GOI,2024-03-03,151,A321,150,122,701134,103717
FL100223,MAA-PNQ,MAA,PNQ,2025-09-03,124,A321,70,54,303912,111829
FL100224,AMD-JAI,AMD,JAI,2024-08-16,86,Q400,70,49,129360,183533
FL100225,GOI-AMD,GOI,AMD,2024-10-31,65,Q400,70,36,97596,141125
FL100226,BLR-AMD,BLR,AMD,2025-12-08,152,A321,70,52,244400,189096
FL100227,AMD-PNQ,AMD,PNQ,2024-09-16,156,A320,78,59,222607,178751
FL100228,JAI-GOI,JAI,GOI,2024-03-02,173,A320,78,48,180432,91928
FL100229,BOM-AMD,BOM,AMD,2025-10-11,131,B737,78,37,159507,132907
FL100230,PNQ-HYD,PNQ,HYD,2025-05-20,138,B737,78,47,144760,151627
FL100231,MAA-BLR,MAA,BLR,2024-08-29,154,Q400,70,63,218547,145798
FL100232,CCU-BOM,CCU,BOM,2024-09-27,85,A321,78,54,224424,172869
FL100233,DEL-MAA,DEL,MAA,2024-08-05,143,B787,150,138,511428,170340
FL100234,MAA-JAI,MAA,JAI,2025-05-08,158,A321,120,68,425000,180065
FL100235,AMD-HYD,AMD,HYD,2024-06-09,155,A320,150,140,776020,154859
FL100236,PNQ-BLR,PNQ,BLR,2025-06-17,170,B787,78,74,260036,103746
FL100237,AMD-BOM,AMD,BOM,2025-11-30,176,ATR72,150,96,602784,113833
FL100238,MAA-DEL,MAA,DEL,2025-12-18,70,B787,150,142,564024,118462
FL100239,GOI-BOM,GOI,BOM,2025-09-26,86,ATR72,90,48,207840,184326
FL100240,DEL-GOI,DEL,GOI,2025-04-03,71,Q400,78,51,170442,100876
FL100241,PNQ-MAA,PNQ,MAA,2025-04-21,92,ATR72,180,95,443270,96410
FL100242,HYD-JAI,HYD,JAI,2025-01-26,109,A320,70,61,160491,87043
FL100243,JAI-PNQ,JAI,PNQ,2025-09-13,137,ATR72,150,113,360357,123475
FL100244,GOI-HYD,GOI,HYD,2025-08-03,173,A320,90,60,360480,144778
FL100245,BOM-BLR,BOM,BLR,2025-04-21,177,A321,120,100,374600,158790
FL100246,CCU-DEL,CCU,DEL,2025-01-23,70,A320,150,63,163548,116927
FL100247,AMD-CCU,AMD,CCU,2025-02-25,69,ATR72,150,127,330454,113728
FL100248,PNQ-CCU,PNQ,CCU,2025-02-05,164,B787,70,37,119917,106334
FL100249,HYD-GOI,HYD,GOI,2025-05-31,114,ATR72,70,64,195008,97644
FL100250,BOM-DEL,BOM,DEL,2024-04-27,152,B737,90,59,305443,106168
FL100251,BLR-BOM,BLR,BOM,2025-10-05,165,A320,90,85,459255,107083
FL100252,MAA-HYD,MAA,HYD,2025-04-10,154,Q400,150,112,417536,112289
FL100253,CCU-BLR,CCU,BLR,2025-05-31,103,B737,90,52,324168,161559
FL100254,AMD-JAI,AMD,JAI,2024-12-23,124,B787,70,56,205800,118273
FL100255,BLR-MAA,BLR,MAA,2024-09-22,98,B737,150,111,429348,112835
FL100256,CCU-AMD,CCU,AMD,2024-04-28,69,B787,120,105,459270,195134
FL100257,PNQ-BLR,PNQ,BLR,2024-01-04,147,Q400,90,90,248310,180969
FL100258,MAA-BOM,MAA,BOM,2025-01-03,69,Q400,150,82,344892,91244
FL100259,HYD-BOM,HYD,BOM,2024-07-29,167,ATR72,180,104,539136,197802
FL100260,DEL-CCU,DEL,CCU,2025-05-23,138,A321,90,74,450660,199216
FL100261,PNQ-MAA,PNQ,MAA,2024-11-28,96,B787,70,57,275880,107877
FL100262,JAI-BLR,JAI,BLR,2025-11-27,61,A321,90,81,274428,170616
FL100263,CCU-DEL,CCU,DEL,2025-04-23,103,A320,78,44,122364,84433
FL100264,JAI-BOM,JAI,BOM,2024-06-08,162,ATR72,78,67,202809,145723
FL100265,GOI-MAA,GOI,MAA,2025-11-19,143,B787,70,42,110796,85927
FL100266,JAI-BLR,JAI,BLR,2024-05-06,92,Q400,90,65,356980,195992
FL100267,MAA-PNQ,MAA,PNQ,2025-06-04,121,B787,78,64,160512,157452
FL100268,DEL-AMD,DEL,AMD,2025-11-14,134,ATR72,180,130,410930,82079
FL100269,BOM-PNQ,BOM,PNQ,2024-09-09,158,B787,180,150,864000,86218
FL100270,DEL-JAI,DEL,JAI,2024-08-18,164,B737,180,59,334294,194095
FL100271,BLR-MAA,BLR,MAA,2024-02-09,119,ATR72,120,92,479964,102130
FL100272,BLR-AMD,BLR,AMD,2024-10-19,63,B737,70,49,157437,102365
FL100273,BLR-BOM,BLR,BOM,2024-03-25,153,B787,180,84,272664,194148
FL100274,JAI-AMD,JAI,AMD,2024-01-17,63,A320,180,49,122990,85851
FL100275,MAA-BOM,MAA,BOM,2024-12-12,89,A320,90,88,389840,165559
FL100276,HYD-AMD,HYD,AMD,2025-04-30,65,A320,120,60,273300,142097
FL100277,CCU-MAA,CCU,MAA,2025-11-01,98,B737,120,91,304850,152498
FL100278,AMD-DEL,AMD,DEL,2024-03-28,115,Q400,90,87,535398,195748
FL100279,JAI-AMD,JAI,AMD,2025-10-31,152,B787,120,30,125550,136561
FL100280,HYD-CCU,HYD,CCU,2024-11-14,118,A320,90,63,313236,149545
FL100281,CCU-JAI,CCU,JAI,2025-05-14,131,A320,150,79,502203,132643
FL100282,CCU-BOM,CCU,BOM,2024-02-29,80,A320,78,67,339891,140447
FL100283,CCU-AMD,CCU,AMD,2024-11-15,144,B787,70,38,223136,92218
FL100284,DEL-AMD,DEL,AMD,2025-10-18,142,B737,78,63,232092,167778
FL100285,HYD-MAA,HYD,MAA,2024-06-17,173,B787,120,48,128160,183883
FL100286,MAA-BLR,MAA,BLR,2025-12-20,171,B787,78,62,245272,153038
FL100287,AMD-JAI,AMD,JAI,2025-09-30,73,A320,120,83,314902,128650
FL100288,GOI-CCU,GOI,CCU,2025-05-13,96,ATR72,70,54,193968,110635
FL100289,BLR-JAI,BLR,JAI,2024-06-29,86,ATR72,70,37,176009,143687
FL100290,AMD-JAI,AMD,JAI,2024-06-20,142,B787,120,108,289548,147232
FL100291,JAI-BOM,JAI,BOM,2025-03-07,135,ATR72,90,80,478800,142975
FL100292,DEL-MAA,DEL,MAA,2024-11-20,63,A320,120,75,308775,103100
FL100293,CCU-DEL,CCU,DEL,2024-04-20,165,A321,180,152,532304,171332
FL100294,BOM-DEL,BOM,DEL,2024-06-14,131,ATR72,90,66,216348,167788
FL100295,PNQ-CCU,PNQ,CCU,2025-05-01,81,A321,120,103,603992,106777
FL100296,DEL-BOM,DEL,BOM,2025-10-07,121,B737,78,76,391704,163180
FL100297,PNQ-AMD,PNQ,AMD,2024-11-24,96,Q400,90,59,171572,93401
FL100298,BLR-PNQ,BLR,PNQ,2024-04-11,116,A320,78,59,266090,92254
FL100299,BLR-MAA,BLR,MAA,2024-06-22,61,Q400,120,93,395157,193056
FL100300,CCU-BOM,CCU,BOM,2025-01-21,130,A320,78,65,345605,187193
FL100301,DEL-BOM,DEL,BOM,2024-02-20,128,Q400,70,56,172088,178773
FL100302,AMD-JAI,AMD,JAI,2025-04-12,140,A321,90,52,151788,152631
FL100303,AMD-BLR,AMD,BLR,2025-10-03,148,ATR72,70,32,113152,104040
FL100304,PNQ-BLR,PNQ,BLR,2025-04-21,125,B787,78,30,191040,159076
FL100305,DEL-BLR,DEL,BLR,2024-04-13,119,ATR72,78,64,188928,144202
FL100306,AMD-DEL,AMD,DEL,2024-10-09,86,A321,150,55,292655,162066
FL100307,JAI-BLR,JAI,BLR,2025-10-08,125,A320,90,49,291550,92318
FL100308,MAA-BLR,MAA,BLR,2025-06-06,68,B787,90,41,154078,136609
FL100309,AMD-JAI,AMD,JAI,2024-10-14,66,Q400,120,101,379356,118905
FL100310,DEL-GOI,DEL,GOI,2025-01-27,149,Q400,78,59,225439,89404
FL100311,HYD-PNQ,HYD,PNQ,2024-09-16,151,ATR72,150,112,645120,141294
FL100312,CCU-PNQ,CCU,PNQ,2025-04-07,130,A321,70,49,125440,143036
FL100313,HYD-BLR,HYD,BLR,2025-02-02,138,B737,70,64,386560,110987
FL100314,AMD-BOM,AMD,BOM,2024-10-09,171,A321,90,83,426205,116826
FL100315,JAI-PNQ,JAI,PNQ,2024-05-16,98,ATR72,180,87,445788,103368
